,Plot,Quad,Type,Tree Tag No.,Species,DBH
PPW1313.21,PPW1313,A2,TR,1792,HETARB,3.32
PPW1313.34,PPW1313,B1,TR,1754,HETARB,1.87
PPW1313.50,PPW1313,C3,TR,1769,HETARB,1
PPW1313.55,PPW1313,C3,TR,1762,HETARB,1.49
PPW1313.69,PPW1313,C1,TR,1756,HETARB,1.39
PPW1313.7,PPW1313,A1,TR,1722,PSEMEN,1.63
PPW1313.38,PPW1313,B3,TR,1741,QUEAGR,69.5
PPW1313.76,PPW1313,D1,TR,1768,QUEAGR,16.5
PPW1313.35,PPW1313,B1,TR,1745,QUEDEC,8.65
PPW1313.88,PPW1313,D4,TR,1752,QUEDEC,20
PPW1313.64,PPW1313,C2,TR,1751,QUEKEL,22.2
PPW1313.79,PPW1313,D3,TR,1766,QUEKEL,38.3
PPW1313.58,PPW1313,C2,TR,1759,UMBCAL,1.11
PPW1314.4,PPW1314,A1,TR,1907,QUEAGR,18.2
PPW1314.5,PPW1314,A1,TR,1909,QUEAGR,29.7
PPW1314.6,PPW1314,A1,TR,1909.1,QUEAGR,23
PPW1314.7,PPW1314,A1,TR,1931,QUEAGR,37.3
PPW1314.11,PPW1314,C2,TR,1964,QUEAGR,41.35
PPW1314.12,PPW1314,C2,TR,1964.1,QUEAGR,32.8
PPW1314.13,PPW1314,C2,TR,1964.2,QUEAGR,24.8
PPW1314.14,PPW1314,C3,TR,1923,QUEAGR,41.85
PPW1314.8,PPW1314,B2,TR,1924,QUEDEC,19.5
PPW1314.9,PPW1314,B2,TR,1925,QUEDEC,25
PPW1314.10,PPW1314,C1,TR,1963,QUEDEC,16.7
PPW1314.15,PPW1314,C3,TR,1922,QUEDEC,38.6
PPW1314.16,PPW1314,D1,TR,1965,QUEDEC,29.95
PPW1321.17,PPW1321,A3,TR,2363,ARBMEN,44.9
PPW1321.46,PPW1321,B4,TR,2387,QUEAGR,29.9
PPW1321.47,PPW1321,B4,TR,2387.1,QUEAGR,12.65
PPW1321.11,PPW1321,A2,TR,2356,QUEGAR,25.5
PPW1321.15,PPW1321,A2,TR,2357,QUEGAR,17
PPW1321.31,PPW1321,A4,TR,2374,QUEGAR,22.55
PPW1321.39,PPW1321,B4,TR,2390,QUEGAR,21.45
PPW1321.59,PPW1321,B1,TR,2403,QUEGAR,28.45
PPW1321.61,PPW1321,C1,TR,2405,QUEGAR,31.5
PPW1321.64,PPW1321,C1,TR,2407,QUEGAR,29.7
PPW1321.71,PPW1321,C2,TR,2418,QUEGAR,25.55
PPW1321.82,PPW1321,C3,TR,2425,QUEGAR,17.45
PPW1321.96,PPW1321,D3,TR,2439,QUEGAR,20
PPW1321.105,PPW1321,D3,TR,2442,QUEGAR,11.5
PPW1321.139,PPW1321,D1,TR,2475,QUEGAR,15.3
PPW1321.36,PPW1321,B4,TR,2384,QUEKEL,21.5
PPW1321.106,PPW1321,D2,TR,2448,QUEKEL,17.65
PPW1321.125,PPW1321,D2,TR,2462,QUEKEL,17.4
PPW1321.75,PPW1321,C3,TR,2419,UMBCAL,27
PPW1321.133,PPW1321,D2,TR,2463,UMBCAL,1.28
PPW1322.16,PPW1322,B1,TR,2495,BACPIL,2.31
PPW1322.17,PPW1322,B1,TR,2495.1,BACPIL,1.52
PPW1322.18,PPW1322,B1,TR,2495.2,BACPIL,1.89
PPW1322.19,PPW1322,B1,TR,2495.3,BACPIL,1.6
PPW1322.20,PPW1322,B1,TR,2495.4,BACPIL,1.3
PPW1322.21,PPW1322,B1,TR,2495.5,BACPIL,1.53
PPW1322.22,PPW1322,B1,TR,2495.6,BACPIL,1.84
PPW1322.23,PPW1322,B1,TR,2495.7,BACPIL,1.78
PPW1322.24,PPW1322,B1,TR,2495.8,BACPIL,1.39
PPW1322.14,PPW1322,B2,TR,2492,QUEAGR,41.4
PPW1322.4,PPW1322,A1,TR,2453,QUEDOU,40.2
PPW1322.5,PPW1322,A1,TR,2487,QUEDOU,20.6
PPW1322.8,PPW1322,A3,TR,2486,QUEDOU,40.9
PPW1322.10,PPW1322,B3,TR,2490,QUEDOU,32.85
PPW1322.12,PPW1322,B4,TR,2000,QUEDOU,31.7
PPW1322.13,PPW1322,B2,TR,2491,QUEDOU,34.8
PPW1322.15,PPW1322,B2,TR,2493,QUEDOU,27.5
PPW1322.26,PPW1322,B1,TR,2494,QUEDOU,28.3
PPW1322.27,PPW1322,B1,TR,2496,QUEDOU,27.9
