"","Plot.ID","UTM.E","UTM.N","Slope","Aspect","Tree.Species","Tree.Number","Basal.Area_cm2","Total.Basal.Area_cm2","Percent.Cover"
"154","PPW1339","524901","4269863","28","246","QUEDOU",5,2872.31103928734,15160.3414140071,18.95
"155","PPW1339","524901","4269863","28","246","UMBCAL",1,2.57304292310638,15160.3414140071,0.02
"156","PPW1340","527205","4269284","9.5","205","ARBMEN",5,176.929000463033,14647.873903319,1.21
"157","PPW1340","527205","4269284","9.5","205","NOTDEN",1,69.3977817177985,14647.873903319,0.47
"158","PPW1340","527205","4269284","9.5","205","PSEMEN",4,12018.0547040603,14647.873903319,82.05
"159","PPW1340","527205","4269284","9.5","205","QUEAGR",6,1890.8467852377,14647.873903319,12.91
"160","PPW1340","527205","4269284","9.5","205","UMBCAL",7,492.645631840214,14647.873903319,3.36
"161","PPW1341","527127","4269502","14","205","PSEMEN",3,12078.2868892112,16493.8977012124,73.23
"162","PPW1341","527127","4269502","14","205","QUEAGR",10,4386.26134657296,16493.8977012124,26.59
"163","PPW1341","527127","4269502","14","205","UMBCAL",2,29.3494654281829,16493.8977012124,0.18
"164","PPW1342","527278","4269582","7","65","NOTDEN",4,39.2955121499992,38791.274983745,0.1
"165","PPW1342","527278","4269582","7","65","PSEMEN",23,38423.4615570128,38791.274983745,99.05
"166","PPW1342","527278","4269582","7","65","QUEAGR",3,323.687401718052,38791.274983745,0.83
"167","PPW1342","527278","4269582","7","65","UMBCAL",1,4.83051286415967,38791.274983745,0.01
"168","PPW1343","522956","4273410","26.5","352","ARBMEN",1,0.967689077121996,22876.0626548545,0
"169","PPW1343","522956","4273410","26.5","352","PSEMEN",197,16298.054899258,22876.0626548545,71.25
"170","PPW1343","522956","4273410","26.5","352","QUEDEC",8,3782.09467331745,22876.0626548545,16.53
"171","PPW1343","522956","4273410","26.5","352","QUEKEL",3,2197.43606893859,22876.0626548545,9.61
"172","PPW1343","522956","4273410","26.5","352","UMBCAL",3,597.509324263285,22876.0626548545,2.61
"173","PPW1344","522872","4272878","24","210","QUEDEC",2,1586.0998100087,9025.95866388238,17.57
"174","PPW1344","522872","4272878","24","210","QUEDOU",3,5849.42757299385,9025.95866388238,64.81
"175","PPW1344","522872","4272878","24","210","QUEKEL",1,1590.43128087983,9025.95866388238,17.62
"176","PPW1345","523405","4272225","24","78","ARBMEN",4,233.34375784079,12930.1602892207,1.8
"177","PPW1345","523405","4272225","24","78","ARCMAN",16,1074.54618862359,12930.1602892207,8.31
"178","PPW1345","523405","4272225","24","78","HETARB",132,904.040017261185,12930.1602892207,6.99
"179","PPW1345","523405","4272225","24","78","PSEMEN",1,73.8981131940659,12930.1602892207,0.57
"180","PPW1345","523405","4272225","24","78","QUEAGR",5,1284.75800705691,12930.1602892207,9.94
"181","PPW1345","523405","4272225","24","78","QUEDEC",4,2678.05851153425,12930.1602892207,20.71
"182","PPW1345","523405","4272225","24","78","QUEGAR",12,6645.23618904713,12930.1602892207,51.39
"183","PPW1345","523405","4272225","24","78","UMBCAL",2,36.2795046627366,12930.1602892207,0.28
"184","PPW1346","524575","4270822","24","316","ADEFAS",7,16.3758658661022,10747.041950261,0.15
"185","PPW1346","524575","4270822","24","316","AMOCAL",13,114.864559936693,10747.041950261,1.07
"186","PPW1346","524575","4270822","24","316","HETARB",14,97.9556443370931,10747.041950261,0.91
"187","PPW1346","524575","4270822","24","316","QUEAGR",2,3.00414797499524,10747.041950261,0.03
"188","PPW1346","524575","4270822","24","316","QUEGAR",16,7594.06589277055,10747.041950261,70.66
"189","PPW1346","524575","4270822","24","316","QUEKEL",1,289.529178954835,10747.041950261,2.69
"190","PPW1346","524575","4270822","24","316","UMBCAL",17,2631.24666042072,10747.041950261,24.48
"191","PPW1347","523087","4268719","25","5","AMOCAL",6,13.7864866611971,11148.3460113175,0.12
"192","PPW1347","523087","4268719","25","5","PSEMEN",4,9311.89268274426,11148.3460113175,83.53
"193","PPW1347","523087","4268719","25","5","QUEAGR",5,232.715439310072,11148.3460113175,2.09
"194","PPW1347","523087","4268719","25","5","QUEDEC",1,406.492636943392,11148.3460113175,3.65
"195","PPW1347","523087","4268719","25","5","QUEKEL",2,925.892150361392,11148.3460113175,8.31
"196","PPW1347","523087","4268719","25","5","UMBCAL",33,257.566615297213,11148.3460113175,2.31
"197","PPW1348","523389","4269026","24","327","AMOCAL",7,8.86565300824674,11960.3829954618,0.07
"198","PPW1348","523389","4269026","24","327","HETARB",31,219.44747251635,11960.3829954618,1.83
"199","PPW1348","523389","4269026","24","327","PSEMEN",20,2088.59598415406,11960.3829954618,17.46
"200","PPW1348","523389","4269026","24","327","QUEDEC",43,8378.57655624336,11960.3829954618,70.05
"201","PPW1348","523389","4269026","24","327","QUEKEL",6,1242.60985023764,11960.3829954618,10.39
"202","PPW1348","523389","4269026","24","327","UMBCAL",3,22.2874793021784,11960.3829954618,0.19
"203","PPW1349","526499","4270456","11","53","NOTDEN",2,455.344402706713,14260.6256419539,3.19
"204","PPW1349","526499","4270456","11","53","PSEMEN",3,1596.51026266453,14260.6256419539,11.2
"205","PPW1349","526499","4270456","11","53","QUEAGR",3,2526.65730757613,14260.6256419539,17.72
"206","PPW1349","526499","4270456","11","53","QUEKEL",2,9682.11366900655,14260.6256419539,67.89
"207","PPW1350","523424","4269090","26.5","318","HETARB",65,281.433059067085,17233.2140410892,1.63
"208","PPW1350","523424","4269090","26.5","318","PSEMEN",29,14088.8986476863,17233.2140410892,81.75
"209","PPW1350","523424","4269090","26.5","318","QUEAGR",4,1513.9295727741,17233.2140410892,8.78
"210","PPW1350","523424","4269090","26.5","318","QUEGAR",1,314.159265358979,17233.2140410892,1.82
"211","PPW1350","523424","4269090","26.5","318","QUEKEL",5,1032.87712468398,17233.2140410892,5.99
"212","PPW1350","523424","4269090","26.5","318","UMBCAL",2,1.91637151868977,17233.2140410892,0.01
