Plot ID,1345,,Sampler(s),"MK, KO, MO, AC",,,,,Date ,"20180628, 20180629",,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,Notes
B2,TR,2291.2,,,HETARB,0,0,0,0,0,,,,1.3,,,,
B2,TR,2291.3,,,HETARB,0,0,0,0,0,,,,1.4,,,,
B2,SA,5590,,,HETARB,0,1,,,,,1.5,0,,76.1,2,,new SA
B2,SA,5589,,,HETARB,0,1,,,,,1.9,0,,69.7,3,,new SA
C1,TR,5594,,,QUEDOU,0,0,0,1,2,,,,15.8,,,,"new TR, might be -999"
B2,TR,2293,,,QUEGAR,1,0,0,1,4,,,,18.7,,,,"new TR, TAGGED AS 5593- REPLACE WITH A NEW 2293 TAG IN 2019"
B1,TS,2241.4,,,HETARB,0,0,0,0,0,,,,1.16,,,,
B1,TR,2257,,,QUEGAR,1,0,0,1,5,,,,42.2,,,,
B1,TR,2257.2,,,QUEGAR,1,0,0,1,3,,,,32,,,,
B1,TR,2257.1,,,QUEGAR,1,0,0,1,4,,,,41.2,,,,
B1,TR,2240,,,HETARB,0,0,0,0,0,,,,4.36,,,,
B1,TR,2240.1,,,HETARB,0,0,0,0,0,,,,2.06,,,,
B1,TR,2240.2,,,HETARB,0,1,0,0,0,,,,2.39,87.9,5,,OG dead
B1,TR,2240.3,,,HETARB,0,1,0,0,0,,,,5.16,91.1,3,,OG dead
B1,TR,2240.4,,,HETARB,0,1,0,0,0,,,,4.01,103.8,4,,OG dead
B1,TR,2240.5,,,HETARB,1,0,1,1,1,,,,5.69,,,,
B1,TR,2239,,,HETARB,0,1,0,0,0,,,,2.06,91.6,3,,og dead
B1,TR,2239.1,,,HETARB,0,1,0,0,0,,,,1.49,70.1,2,,og dead
B1,TS,2239.2,,,HETARB,0,0,,,,,2.02,0,,,,,
B1,TR,5595,,,UMBCAL,1,1,0,0,0,,,,1.12,137.8,3,,needs xy in 2019
B2,TR,2290,,,HETARB,0,1,0,0,0,,,,4.5,86.5,8,,
B2,TR,2290.1,,,HETARB,0,0,0,0,0,,,,2.6,,,,
B2,TR,2290.2,,,HETARB,0,1,0,0,0,,,,2.6,91.1,6,,
B2,TR,2290.3,,,HETARB,0,0,0,0,0,,,,2.2,,,,
B2,TR,2290.4,,,HETARB,0,0,0,0,0,,,,2.1,,,,
B2,TR,2290.5,,,HETARB,0,1,0,0,0,,,,2.2,104.9,15,,
B2,TR,2290.6,,,HETARB,0,0,0,0,0,,,,1.9,,,,
B2,TR,2290.7,,,HETARB,0,0,0,0,0,,,,1.9,,,,
B2,TR,2285,,,HETARB,0,1,0,0,0,,,,4.8,93.5,5,,
B2,TR,2285.1,,,HETARB,0,1,0,0,0,,,,4.1,122.3,7,,
B2,TR,2285.2,,,HETARB,0,1,0,0,0,,,,2.3,135.3,13,,
B2,TR,2285.3,,,HETARB,0,1,0,0,0,,,,2.5,101,4,,
B2,TR,2285.4,,,HETARB,0,0,0,0,0,,,,1.4,,,,
B2,TR,2285.5,,,HETARB,0,0,0,0,0,,,,3.7,90.5,5,,
B2,TR,2285.6,,,HETARB,0,1,0,0,0,,,,3.2,133.4,4,,
B2,TR,2285.7,,,HETARB,0,0,0,0,0,,,,1.6,,,,
B2,TR,2285.8,,,HETARB,0,0,0,0,0,,,,2.3,,0,,
B2,TR,1901,,,HETARB,0,1,0,0,0,,,,2.3,69.5,6,,
B2,TR,1901.1,,,HETARB,0,0,0,0,0,,,,1.3,,,,
B3,SA,5592,,,HETARB,0,1,,,,,0.79,0,,26.6,0,,"OG dead, tagged as new SA"
B2,TR,2286,,,HETARB,0,1,0,0,0,,,,3.31,92.4,6,,
B2,TR,2286.1,,,HETARB,0,0,0,0,0,,,,2,,,,
B2,SA,2287,,,QUEAGR,0,1,,,,,1.36,0,,76.9,3,,og dead
B2,SA,2288,,,QUEAGR,0,1,,,,,,,,23.6,0,,"og dead and gone, no BD"
B2,TR,2300,,,HETARB,0,0,0,0,0,,,,,,,,"dead and gone, tag not found"
B2,TR,2300.1,,,HETARB,0,0,0,0,0,,,,,,,,"dead and gone, tag not found"
B2,TR,2300.2,,,HETARB,0,0,0,0,0,,,,,,,,"dead and gone, tag not found"
B2,TR,1909.1,,,HETARB,0,0,0,0,0,,,,,,,,tag not found
