plot,date,device,quad,reading,notes
PPW1335,20220511,1591,A3,6.9,
PPW1335,20220511,1591,A4,8.1,
PPW1335,20220511,1591,B4,9.6,
PPW1335,20220511,1591,B3,9.2,
PPW1335,20220511,1591,B2,7.5,
PPW1335,20220511,1591,B1,6.9,
PPW1335,20220511,1591,C1,11.4,
PPW1335,20220511,1591,C2,7.7,
PPW1335,20220511,1591,C3,5.9,
PPW1335,20220511,1591,C4,8.6,
PPW1335,20220511,1591,D4,12.1,
PPW1335,20220511,1591,D3,9.7,
PPW1335,20220511,1591,D2,10.7,
PPW1335,20220511,1591,D1,7.9,
PPW1336,20220512,1591,A1,7.7,
PPW1336,20220512,1591,A2,5.5,
PPW1336,20220512,1591,A3,5.3,
PPW1336,20220512,1591,A4,6.8,
PPW1336,20220512,1591,B4,6.1,
PPW1336,20220512,1591,B3,4.5,
PPW1336,20220512,1591,B2,5.1,
PPW1336,20220512,1591,B1,7.9,
PPW1336,20220512,1591,C1,4.2,
PPW1336,20220512,1591,C2,4.4,
PPW1336,20220512,1591,C3,3.9,
PPW1336,20220512,1591,C4,5,
PPW1336,20220512,1591,D4,6.5,
PPW1336,20220512,1591,D3,3.3,
PPW1336,20220512,1591,D2,4.1,
PPW1336,20220512,1591,D1,7.1,
PPW1337,20220514,4397,A1,10.3,
PPW1337,20220514,4397,A2,15,
PPW1337,20220514,4080,A3,13.4,
PPW1337,20220514,4080,A4,9.4,
PPW1337,20220514,4080,B4,13.8,
PPW1337,20220514,4080,B3,17.7,
PPW1337,20220514,4397,B2,12.9,
PPW1337,20220514,4397,B1,13.3,
PPW1337,20220514,4397,C1,14.4,
PPW1337,20220514,4397,C2,13.1,
PPW1337,20220514,4080,C3,17.8,
PPW1337,20220514,4080,C4,20,
PPW1337,20220514,4080,D4,20.1,
PPW1337,20220514,4080,D3,17.6,
PPW1337,20220514,4397,D2,19.5,
PPW1337,20220514,4397,D1,14.5,
PPW1338,20220514,4080,A1,9.2,
PPW1338,20220514,4080,A2,13.9,
PPW1338,20220514,4080,A3,14.9,
PPW1338,20220514,4080,A4,13.1,
PPW1338,20220514,4080,B4,12.4,
PPW1338,20220514,4080,B3,11.3,
PPW1338,20220514,4080,B2,11.2,
PPW1338,20220514,4080,B1,10,
PPW1338,20220514,4397,C1,10.7,
PPW1338,20220514,4397,C2,5.9,
PPW1338,20220514,4397,C3,5.4,
PPW1338,20220514,4397,C4,5.2,
PPW1338,20220514,4397,D4,9.9,
PPW1338,20220514,4397,D3,3.2,
PPW1338,20220514,4397,D2,9.5,
PPW1338,20220514,4397,D1,10.6,
PPW1339,20220514,4397,A1,20.7,
PPW1339,20220514,4397,A2,21.8,
PPW1339,20220514,4397,A3,12.4,
PPW1339,20220514,4397,A4,7.4,
PPW1339,20220514,4397,B4,15.7,
PPW1339,20220514,4397,B3,20.7,
PPW1339,20220514,4397,B2,22.2,
PPW1339,20220514,4397,B1,26.7,
PPW1339,20220514,4080,C1,27.2,
PPW1339,20220514,4080,C2,24.3,
PPW1339,20220514,4080,C3,23.1,
PPW1339,20220514,4080,C4,23.9,
PPW1339,20220514,4080,D4,14.3,
PPW1339,20220514,4080,D3,17.9,
PPW1339,20220514,4080,D2,19.1,
PPW1339,20220514,4080,D1,19.9,
PPW1340,20220513,1591,A1,14.9,
PPW1340,20220513,1799,A2,9.2,
PPW1340,20220513,1799,A3,10.2,
PPW1340,20220513,1799,A4,7.4,
PPW1340,20220513,1799,B4,9.4,
PPW1340,20220513,1799,B3,10.4,
PPW1340,20220513,1799,B2,8.7,
PPW1340,20220513,1591,B1,5.1,
PPW1340,20220513,1591,C1,5.6,
PPW1340,20220513,1591,C2,10.1,
PPW1340,20220513,1591,C3,11.4,
PPW1340,20220513,1591,C4,8.4,
PPW1340,20220513,1591,D4,9.7,
PPW1340,20220513,1591,D3,8.9,
PPW1340,20220513,1591,D2,10.4,
PPW1340,20220513,1591,D1,15.5,
PPW1341,20220513,1799,A1,14.1,
PPW1341,20220513,1799,A2,5.7,
PPW1341,20220513,1591,A3,9.9,
