plot,date,device,quad,reading
PPW1344,20150504,ack,D3,8.1
PPW1344,20150504,ack,D2,7.7
PPW1344,20150504,ack,D1,5.9
,,,,
PPW1313,20150504,ack,A1,13.5
PPW1313,20150504,ack,A2,16.5
PPW1313,20150504,ack,A3,8.3
PPW1313,20150504,ack,A4,12
PPW1313,20150504,ack,B4,7.8
PPW1313,20150504,ack,B3,9.2
PPW1313,20150504,ack,B2,7.9
PPW1313,20150504,ack,B1,15.5
PPW1313,20150504,ack,C1,14.5
PPW1313,20150504,ack,C2,12.1
PPW1313,20150504,ack,C3,5.5
PPW1313,20150504,ack,C4,8.9
PPW1313,20150504,ack,D4,14.5
PPW1313,20150504,ack,D3,10.4
PPW1313,20150504,ack,D2,12.9
PPW1313,20150504,ack,D1,15.8
,,,,
PPW1314,20150504,ack,A1,6.4
PPW1314,20150504,ack,A2,10.5
PPW1314,20150504,ack,A3,12.8
PPW1314,20150504,ack,A4,7
PPW1314,20150504,ack,B4,10.9
PPW1314,20150504,ack,B3,7.1
PPW1314,20150504,ack,B2,8.7
PPW1314,20150504,ack,B1,7.8
PPW1314,20150504,ack,C1,6.9
PPW1314,20150504,ack,C2,11.7
PPW1314,20150504,ack,C3,9.6
PPW1314,20150504,ack,C4,9.8
PPW1314,20150504,ack,D4,8.6
PPW1314,20150504,ack,D3,6.9
PPW1314,20150504,ack,D2,7.6
PPW1314,20150504,ack,D1,6.5
,,,,
PPW1323,20150504,ack,A1,11.5
PPW1323,20150504,ack,A2,17.9
PPW1323,20150504,ack,A3,10.4
PPW1323,20150504,ack,A4,8.2
PPW1323,20150504,ack,B4,7.3
PPW1323,20150504,ack,B3,7.9
PPW1323,20150504,ack,B2,10.1
PPW1323,20150504,ack,B1,14.2
PPW1323,20150504,ack,C1,11.1
PPW1323,20150504,ack,C2,12.9
PPW1323,20150504,ack,C3,9.2
PPW1323,20150504,ack,C4,5.8
PPW1323,20150504,ack,D4,7.1
PPW1323,20150504,ack,D3,9.8
PPW1323,20150504,ack,D2,9.9
PPW1323,20150504,ack,D1,7.6
,,,,
PPW1345,20150504,ack,A1,9.8
PPW1345,20150504,ack,A2,6.9
PPW1345,20150504,ack,A3,11.1
PPW1345,20150504,ack,A4,9.9
PPW1345,20150504,ack,B4,7.1
PPW1345,20150504,ack,B3,10.1
PPW1345,20150504,ack,B2,10.5
PPW1345,20150504,ack,B1,9.2
PPW1345,20150504,ack,C1,10.3
PPW1345,20150504,ack,C2,12.4
PPW1345,20150504,ack,C3,6.2
PPW1345,20150504,ack,C4,14.2
PPW1345,20150504,ack,D4,6.1
PPW1345,20150504,ack,D3,9.9
PPW1345,20150504,ack,D2,8.1
PPW1345,20150504,ack,D1,10.8
,,,,
PPW1329,20150504,ack,A1,5.9
PPW1329,20150504,ack,A2,10.1
PPW1329,20150504,ack,A3,9.7
PPW1329,20150504,ack,A4,13.6
PPW1329,20150504,ack,B4,15.6
PPW1329,20150504,ack,B3,11.8
PPW1329,20150504,ack,B2,7.8
PPW1329,20150504,ack,B1,6.1
PPW1329,20150504,ack,C1,7.5
PPW1329,20150504,ack,C2,13.2
PPW1329,20150504,ack,C3,15.6
PPW1329,20150504,ack,C4,17.4
PPW1329,20150504,ack,D4,8.2
PPW1329,20150504,ack,D3,10.2
PPW1329,20150504,ack,D2,17.2
PPW1329,20150504,ack,D1,9.9
,,,,
PPW1331,20150504,ack,A1,5.9
PPW1331,20150504,ack,A2,7.1
PPW1331,20150504,ack,A3,6.1
PPW1331,20150504,ack,A4,5.6
