"Plot","Quad","Type","Num","Species","SA.Stump.Height_cm","SA.Stump.BD_cm","SA.Branch.Num","DBH_cm","X_cm","Y_cm","Notes","Year","Basal.Area"
"PPW1305","D3","SA",1192,"QUEAGR",52,0.85,1,NA,19,21,NA,2014,0.567450173054656
"PPW1305","D2","SA",1185,"ARBMEN",123,2.12,2,NA,74,308,NA,2014,7.05978701114698
"PPW1305","D2","SA",1186,"QUEAGR",58,0.62,2,NA,211,186,NA,2014,0.603814108019958
"PPW1305","D2","SA",1189,"UMBCAL",88,1.02,1,NA,353,235,NA,2014,0.817128249198705
"PPW1305","D2","SA",1188,"UMBCAL",145,2.1,1,NA,372,194,NA,2014,3.46360590058275
"PPW1305","D2","SA",1190,"UMBCAL",54,0.73,1,NA,444,236,NA,2014,0.4185386812745
"PPW1305","D2","SA",1187,"UMBCAL",55,0.98,1,NA,479,7,NA,2014,0.754296396126909
"PPW1305","D1","SA",1184,"UMBCAL",83,1.04,2,NA,499,487,NA,2014,1.69897330706136
"PPW1305","D1","SA",1181,"UMBCAL",74,1.04,1,NA,178,244,NA,2014,0.84948665353068
"PPW1305","D1","SA",1180,"UMBCAL",104,1.47,2,NA,151,186,NA,2014,3.39433378257109
"PPW1305","D1","TR",1182,"QUEAGR",NA,NA,NA,31.8,302,132,NA,2014,794.226038754036
"PPW1305","D1","SA",1183,"UMBCAL",32,1.18,1,NA,366,287,NA,2014,1.09358840271461
"PPW1306","A1","SA",1201,"PSEMEN",10,1.25,1,NA,185,410,NA,2014,1.22718463030851
"PPW1306","A2","SA",1202,"PSEMEN",76,1.69,1,NA,241,258,NA,2014,2.24317569447945
"PPW1306","A2","SA",1203,"UMBCAL",76,1.31,1,NA,468,276,NA,2014,1.34782178820636
"PPW1306","A2","TR",1204.1,"ARBMEN",NA,NA,NA,27.4,293,380,"TAG 117, DBH taken at 100cm tall",2014,589.645525152268
"PPW1306","A2","TR",1204,"ARBMEN",NA,NA,NA,44.65,349,403,"TAG 116? Swallowed by tree",2014,1565.78745000783
"PPW1306","A2","TR",1204.2,"ARBMEN",NA,NA,NA,17.2,469,376,"TAG 115",2014,232.352192659501
"PPW1306","A3","SA",1205,"PSEMEN",72,1.22,1,NA,90,211,NA,2014,1.16898662640076
"PPW1306","A3","TR",1206,"QUEKEL",NA,NA,NA,28.5,22,390,"TAG198",2014,637.939658219577
"PPW1306","A4","SA",1207,"PSEMEN",103,1.54,1,NA,237,102,NA,2014,1.86265028431339
"PPW1306","B4","SA",1210,"PSEMEN",71,1.21,1,NA,469,243,NA,2014,1.1499014510302
"PPW1306","B4","SA",1208,"PSEMEN",101,1.62,1,NA,119,171,NA,2014,2.06119894002026
"PPW1306","B4","SA",1209,"UMBCAL",114,1.36,1,NA,146,225,NA,2014,1.45267244301992
"PPW1306","B3","SA",1212,"UMBCAL",188,2.52,1,NA,169,90,NA,2014,4.98759249683916
"PPW1306","B3","TR",1211,"UMBCAL",206,NA,1,1.1,288,22,NA,2014,0.950331777710913
"PPW1306","B1","SA",1213,"UMBCAL",64,0.7,1,NA,171,472,NA,2014,0.38484510006475
"PPW1306","B1","TR",1214,"QUEKEL",NA,NA,NA,16.2,360,271,"TAG 119",2014,206.119894002026
"PPW1306","B1","TR",1215,"QUEKEL",NA,NA,NA,40.2,395,146,"TAG118, DBH at 77cm height",2014,1269.23484797681
"PPW1306","C4","TR",1216,"QUEKEL",NA,NA,NA,24.1,310,158,"DBH at 100cm",2014,456.167107282872
"PPW1306","D4","TR",1217,"QUEKEL",NA,NA,NA,19.45,332,296,"TAG135",2014,297.118088708663
"PPW1306","D4","TR",1218,"QUEKEL",NA,NA,NA,20.2,343,252,"TAG134",2014,320.473866592695
"PPW1306","D4","TR",1219,"QUEKEL",NA,NA,NA,37.7,328,46,"INPUTED TREE NUM AFTER AUG2013 RESURVEY 20130811 MFO ",2014,1116.27855565516
"PPW1306","D1","TR",1220,"QUEKEL",NA,NA,NA,25.7,301,431,"TAG124",2014,518.747632942381
"PPW1306","D1","SA",1221,"UMBCAL",57,0.93,2,NA,281,6,NA,2014,1.35858174304491
"PPW1307","A1","SA",1109,"ARBMEN",74,1.17,2,NA,421,72,"Corner",2014,2.15026309174953
"PPW1307","A1","TR",1108,"PSEMEN",NA,NA,NA,12.2,353,332,NA,2014,116.898662640076
"PPW1307","A2","SA",1111,"QUEAGR",53,0.65,1,NA,374,177,NA,2014,0.331830724035422
"PPW1307","A2","TR",1110,"ARBMEN",NA,NA,NA,42.3,275,186,"Measured at 95cm",2014,1405.30507978542
"PPW1307","A2","TR",1110.2,"ARBMEN",NA,NA,NA,30.55,275,186,NA,2014,733.014069394247
"PPW1307","A2","TR",1110.1,"ARBMEN",NA,NA,NA,26.85,275,186,NA,2014,566.211207451897
"PPW1307","A3","TR",1112,"ARBMEN",NA,NA,NA,22.1,274,39,NA,2014,383.596316984948
"PPW1307","A3","SA",1112.1,"ARBMEN",101,1.46,1,NA,274,39,NA,2014,1.674154725098
"PPW1307","A3","TS",1114,"PSEMEN",57,1.16,1,NA,279,332,NA,2014,NA
"PPW1307","A3","SA",1115,"PSEMEN",84,1.61,1,NA,298,449,NA,2014,2.03583057934253
"PPW1307","A4","SA",1116,"ARBMEN",54,0.66,1,NA,49,380,NA,2014,0.342119439975929
"PPW1307","A4","SA",1118,"PSEMEN",152,3.43,1,NA,312,85,NA,2014,9.24013085255464
"PPW1307","A4","SA",1122,"ARBMEN",53,0.8,1,NA,275,217,NA,2014,0.502654824574367
"PPW1307","A4","SA",1120,"ARBMEN",60,0.84,2,NA,290,182,NA,2014,1.10835388818648
"PPW1307","A4","SA",1119,"ARBMEN",60,1.07,6,NA,344,192,NA,2014,5.39521414364243
"PPW1307","A4","TR",1123,"QUEKEL",NA,NA,NA,55.65,256,277,"dbh at 78cm",2014,2432.31724368423
"PPW1307","A4","TR",1124,"QUEKEL",NA,NA,NA,25.5,372,233,NA,2014,510.705155749191
"PPW1307","A4","SA",1113,"ARBMEN",54,0.71,1,NA,430,80,"HEIGHT CHANGED AFTER AUG2013 RESURVEY FROM 24 TO 54 20130810 MFO",2014,0.395919214168654
"PPW1307","A4","TR",1121,"PSEMEN",NA,NA,NA,1.74,236,453,NA,2014,2.37787147950211
"PPW1307","A4","SA",1125,"ARBMEN",51,0.76,2,NA,89,336,NA,2014,0.907291958356732
"PPW1307","B4","TR",1126,"QUEKEL",NA,NA,NA,21.6,217,24,"measured at 110cm",2014,366.435367114714
"PPW1307","B3","SA",1127,"PSEMEN",110,2.77,1,NA,124,181,NA,2014,6.02628156793228
"PPW1307","B2","SA",1128,"QUEAGR",51,1.13,2,NA,494,256,NA,2014,2.0057498296844
"PPW1307","B2","SA",1130,"QUEAGR",85,2.51,2,NA,489,186,NA,2014,9.89617393844053
"PPW1307","B2","TR",1132,"QUEAGR",NA,NA,NA,3.03,348,33,NA,2014,7.21066199833563
"PPW1307","B2","SA",1129,"UMBCAL",67,1.99,1,NA,71,155,NA,2014,3.11025526687024
"PPW1307","B2","TR",1131,"ARBMEN",NA,NA,NA,32.4,33,139,"Large fire scare at DBH diameter",2014,824.479576008105
"PPW1307","B2","TS",1131.1,"ARBMEN",122,2.13,1,NA,33,139,"CHANGED TAG NUMBER TO 1131.1, CHECKED ON SCAN; 20130612 MFO ",2014,NA
"PPW1307","B2","TS",1131.2,"ARBMEN",97,1.91,2,NA,33,139,NA,2014,NA
"PPW1307","B2","TR",1132.1,"QUEAGR",NA,NA,NA,2.18,348,33,NA,2014,3.73252623173003
"PPW1307","B1","SA",1144,"QUEAGR",79,2.62,2,NA,150,298,NA,2014,10.7825743056509
"PPW1307","B1","SA",1147,"QUEAGR",131,2.87,1,NA,248,449,NA,2014,6.46924613208844
"PPW1307","B1","TR",1143,"ARBMEN",NA,NA,NA,1.78,263,168,NA,2014,2.48845554090848
"PPW1307","B1","TS",1143.1,"ARBMEN",91,1.64,1,NA,263,168,NA,2014,NA
"PPW1307","B1","SA",1156,"QUEAGR",165,1.49,1,NA,263,168,NA,2014,1.74366246255867
"PPW1307","B1","SA",1142,"QUEAGR",171,2.91,1,NA,321,284,NA,2014,6.65083018746593
"PPW1307","B1","SA",1142.1,"QUEAGR",121,2.11,2,NA,321,284,NA,2014,6.99334232652356
"PPW1307","B1","SA",1146,"QUEAGR",126,1.9,2,NA,195,130,NA,2014,5.67057473972958
"PPW1307","B1","SA",1141,"QUEAGR",109,1.64,1,NA,261,106,NA,2014,2.11240690027378
"PPW1307","B1","SA",1138,"ARBMEN",56,1.45,3,NA,27,59,NA,2014,4.95389891562941
"PPW1307","B1","SA",1136,"ARBMEN",58,1.1,2,NA,119,33,NA,2014,1.90066355542183
"PPW1307","B1","SA",1135,"QUEAGR",116,1.38,1,NA,306,70,NA,2014,1.4957122623741
"PPW1307","B1","SA",1148,"UMBCAL",83,0.66,1,NA,459,161,NA,2014,0.342119439975929
"PPW1307","B1","SA",1140,"ARCMAN",216,3,1,NA,107,81,NA,2014,7.06858347057703
"PPW1307","B1","SA",1151,"ARBMEN",139,1.6,2,NA,424,6,NA,2014,4.02123859659494
