"Plot","Quad","Bedrock","Soil","Boulder","Fine","Herb","Litter","Total","Year"
"PPW1328","D3",0,0,1,0,5,95,101,2013
"PPW1328","D4",0,0,0,0,1,100,101,2013
"PPW1329","A1",0,5,0,0,45,60,110,2013
"PPW1329","A2",0,5,0,1,15,85,106,2013
"PPW1329","A3",0,5,15,5,15,80,120,2013
"PPW1329","A4",0,1,20,5,25,60,111,2013
"PPW1329","B1",0,1,0,1,15,85,102,2013
"PPW1329","B2",0,1,25,10,15,65,116,2013
"PPW1329","B3",0,1,15,10,20,70,116,2013
"PPW1329","B4",0,1,5,0,40,55,101,2013
"PPW1329","C1",0,5,10,5,10,80,110,2013
"PPW1329","C2",0,0,20,5,25,60,110,2013
"PPW1329","C3",0,1,5,1,30,65,102,2013
"PPW1329","C4",0,5,5,1,40,55,106,2013
"PPW1329","D1",0,10,20,5,15,65,115,2013
"PPW1329","D2",0,1,5,1,25,75,107,2013
"PPW1329","D3",0,10,0,1,40,50,101,2013
"PPW1329","D4",0,15,15,1,15,70,116,2013
"PPW1330","A1",0,0,0,0,45,65,110,2013
"PPW1330","A2",0,5,0,0,20,75,100,2013
"PPW1330","A3",0,0,0,0,10,90,100,2013
"PPW1330","A4",0,1,0,0,30,70,101,2013
"PPW1330","B1",0,0,0,0,40,60,100,2013
"PPW1330","B2",0,0,0,0,20,85,105,2013
"PPW1330","B3",0,5,0,0,10,90,105,2013
"PPW1330","B4",0,5,0,0,20,80,105,2013
"PPW1330","C1",0,0,0,0,35,60,95,2013
"PPW1330","C2",0,0,0,0,15,85,100,2013
"PPW1330","C3",0,5,0,0,15,80,100,2013
"PPW1330","C4",0,0,0,1,5,95,101,2013
"PPW1330","D1",0,5,0,0,25,80,110,2013
"PPW1330","D2",0,1,0,0,15,85,101,2013
"PPW1330","D3",0,1,0,0,10,90,101,2013
"PPW1330","D4",0,0,0,0,10,90,100,2013
"PPW1331","A1",0,5,0,5,60,35,105,2013
"PPW1331","A2",0,1,0,0,60,40,101,2013
"PPW1331","A3",0,10,0,0,50,50,110,2013
"PPW1331","A4",0,1,0,0,60,40,101,2013
"PPW1331","B1",0,0,0,0,50,50,100,2013
"PPW1331","B2",0,0,0,0,60,40,100,2013
"PPW1331","B3",0,1,0,0,70,35,106,2013
"PPW1331","B4",0,5,0,0,35,65,105,2013
"PPW1331","C1",0,5,0,0,75,25,105,2013
"PPW1331","C2",0,5,0,0,45,50,100,2013
"PPW1331","C3",0,1,0,0,40,65,106,2013
"PPW1331","C4",0,5,0,0,20,80,105,2013
"PPW1331","D1",0,1,0,0,30,75,106,2013
"PPW1331","D2",0,10,0,0,40,55,105,2013
"PPW1331","D3",0,10,0,0,40,65,115,2013
"PPW1331","D4",0,5,0,0,45,60,110,2013
"PPW1332","A1",0,10,0,0,30,60,100,2013
"PPW1332","A2",0,10,0,0,5,90,105,2013
"PPW1332","A3",0,5,0,0,5,90,100,2013
"PPW1332","A4",0,5,0,0,5,95,105,2013
"PPW1332","B1",0,20,0,0,20,60,100,2013
"PPW1332","B2",0,15,0,1,5,80,101,2013
"PPW1332","B3",0,5,0,1,1,95,102,2013
"PPW1332","B4",0,5,0,0,5,95,105,2013
"PPW1332","C1",0,20,0,0,15,65,100,2013
"PPW1332","C2",0,10,0,0,10,90,110,2013
